kingdom,phylum,class,order,family,genus,species,in_range,old_species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,subspecies,subspecies_id,form,form_id,ids
Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes japonicus,n,Ammodytes japonicus,1,44,204,587,8487,2389989,8995137,NA,NA,NA,NA,Ammodytes japonicus
Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus,y,Ammodytes personatus,1,44,204,587,8487,2389989,2389997,NA,NA,NA,NA,Ammodytes personatus
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Amphistichus,Amphistichus argenteus,n,Amphistichus argenteus,1,44,204,587,4269,2389247,2389248,NA,NA,NA,NA,Amphistichus argenteus
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Amphistichus,Amphistichus rhodoterus,y,Amphistichus rhodoterus,1,44,204,587,4269,2389247,2389252,NA,NA,NA,NA,Amphistichus rhodoterus
Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus,y,Anarrhichthys ocellatus,1,44,204,587,8489,2392218,2392219,NA,NA,NA,NA,Anarrhichthys ocellatus
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus insignis,y,Anoplarchus insignis,1,44,204,587,8598,2394913,2394916,NA,NA,NA,NA,Anoplarchus insignis
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus purpurescens,y,Anoplarchus purpurescens,1,44,204,587,8598,2394913,2394914,NA,NA,NA,NA,Anoplarchus purpurescens
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Apodichthys,Apodichthys flavidus,y,Apodichthys flavidus,1,44,204,587,8576,2390387,2390392,NA,NA,NA,NA,Apodichthys flavidus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,Artedius fenestralis,y,Artedius fenestralis,1,44,204,590,8621,2333960,2333969,NA,NA,NA,NA,Artedius fenestralis
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,Artedius harringtoni,y,Artedius harringtoni,1,44,204,590,8621,2333960,2333963,NA,NA,NA,NA,Artedius harringtoni
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,Artedius lateralis,y,Artedius lateralis,1,44,204,590,8621,2333960,2333966,NA,NA,NA,NA,Artedius lateralis
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Ascelichthys,Ascelichthys rhodorus,y,Ascelichthys rhodorus,1,44,204,590,8621,2334020,2334021,NA,NA,NA,NA,Ascelichthys rhodorus
Animalia,Chordata,Actinopterygii,Gasterosteiformes,Aulorhynchidae,Aulorhynchus,Aulorhynchus flavidus,y,Aulorhynchus flavidus,1,44,204,550,3705,2356480,2356481,NA,NA,NA,NA,Aulorhynchus flavidus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hemitripteridae,Blepsias,Blepsias cirrhosus,y,Blepsias cirrhosus,1,44,204,590,5097,2335094,2335095,NA,NA,NA,NA,Blepsias cirrhosus
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Brachyistius,Brachyistius frenatus,y,Brachyistius frenatus,1,44,204,587,4269,2389274,2389277,NA,NA,NA,NA,Brachyistius frenatus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,y,Citharichthys sordidus,1,44,204,588,5082,2408301,2408726,NA,NA,NA,NA,Citharichthys sordidus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,y,Citharichthys stigmaeus,1,44,204,588,5082,2408301,2408737,NA,NA,NA,NA,Citharichthys stigmaeus
Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Clevelandia,Clevelandia ios,y,Clevelandia ios,1,44,204,587,4274,2379262,5209085,NA,NA,NA,NA,Clevelandia ios
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus globiceps,y,Clinocottus globiceps,1,44,204,590,8621,2333865,2333870,NA,NA,NA,NA,Clinocottus globiceps
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,n,Clupea harengus,1,44,204,538,7332,2346676,8351946,NA,NA,NA,NA,Clupea harengus
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,y,Clupea pallasii,1,44,204,538,7332,2346676,4284072,NA,NA,NA,NA,Clupea pallasii
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Comephoridae,Comephorus,Comephorus dybowskii,n,Comephorus dybowskii,1,44,204,590,8620,2334856,2334857,NA,NA,NA,NA,Comephorus dybowskii
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottocomephoridae,Cottocomephorus,Cottocomephorus grewingkii,n,Cottocomephorus grewingki,1,44,204,590,8622,2335273,2335274,NA,NA,NA,NA,Cottocomephorus grewingki
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottocomephoridae,Cottocomephorus,Cottocomephorus inermis,n,Cottocomephorus inermis,1,44,204,590,8622,2335273,2335280,NA,NA,NA,NA,Cottocomephorus inermis
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus aleuticus,y,Cottus aleuticus,1,44,204,590,8621,2334066,2334078,NA,NA,NA,NA,Cottus aleuticus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus asper,y,Cottus asper,1,44,204,590,8621,2334066,2334177,NA,NA,NA,NA,Cottus asper
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus bairdii,n,Cottus bairdii,1,44,204,590,8621,2334066,2334131,NA,NA,NA,NA,Cottus bairdii
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus beldingii,n,Cottus beldingii,1,44,204,590,8621,2334066,2334123,NA,NA,NA,NA,Cottus beldingii
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus cognatus,y,Cottus cognatus,1,44,204,590,8621,2334066,2334185,NA,NA,NA,NA,Cottus cognatus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus gobio,n,Cottus gobio,1,44,204,590,8621,2334066,7807208,NA,NA,NA,NA,Cottus gobio
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus pollux,n,Cottus pollux,1,44,204,590,8621,2334066,2334121,NA,NA,NA,NA,Cottus pollux
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,y,Cymatogaster aggregata,1,44,204,587,4269,2389233,2389234,NA,NA,NA,NA,Cymatogaster aggregata
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,Embiotoca lateralis,y,Embiotoca lateralis,1,44,204,587,4269,2389281,2389287,NA,NA,NA,NA,Embiotoca lateralis
Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,y,Engraulis mordax,1,44,204,538,7334,2352080,2414024,NA,NA,NA,NA,Engraulis mordax
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison,y,Enophrys bison,1,44,204,590,8621,2333763,5201188,NA,NA,NA,NA,Enophrys bison
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,y,Gadus chalcogrammus,1,44,204,549,3701,2335052,2415769,NA,NA,NA,NA,Gadus chalcogrammus
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus morhua,n,Gadus morhua,1,44,204,549,3701,2335052,8084280,NA,NA,NA,NA,Gadus morhua
Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,y,Gasterosteus aculeatus,1,44,204,550,7666,2333602,4286327,NA,NA,NA,NA,Gasterosteus aculeatus
Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,y,Gasterosteus aculeatus aculeatus,1,44,204,550,7666,2333602,4286327,NA,NA,Gasterosteus aculeatus aculeatus,8776075,Gasterosteus aculeatus aculeatus
Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus microcephalus,n,Gasterosteus aculeatus microcephalus,1,44,204,550,7666,2333602,2356544,Gasterosteus aculeatus microcephalus,6169876,NA,NA,Gasterosteus aculeatus microcephalus
Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus nipponicus,n,Gasterosteus nipponicus,1,44,204,550,7666,2333602,9168522,NA,NA,NA,NA,Gasterosteus nipponicus
Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Gibbonsia,Gibbonsia montereyensis,y,Gibbonsia montereyensis,1,44,204,587,4261,2380263,5209308,NA,NA,NA,NA,Gibbonsia montereyensis
Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,y,Gobiesox maeandricus,1,44,204,1163,7668,2411258,2411287,NA,NA,NA,NA,Gobiesox maeandricus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus,y,Hemilepidotus hemilepidotus,1,44,204,590,8621,2333943,2333949,NA,NA,NA,NA,Hemilepidotus hemilepidotus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos agrammus,n,Hexagrammos agrammus,1,44,204,590,8626,2336463,2336490,NA,NA,NA,NA,Hexagrammos agrammus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,y,Hexagrammos decagrammus,1,44,204,590,8626,2336463,2336472,NA,NA,NA,NA,Hexagrammos decagrammus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos lagocephalus,y,Hexagrammos lagocephalus,1,44,204,590,8626,2336463,2336464,NA,NA,NA,NA,Hexagrammos lagocephalus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos octogrammus,y,Hexagrammos octogrammus,1,44,204,590,8626,2336463,2336486,NA,NA,NA,NA,Hexagrammos octogrammus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus hippoglossus,n,Hippoglossus hippoglossus,1,44,204,588,8611,2408796,2409218,NA,NA,NA,NA,Hippoglossus hippoglossus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,y,Hippoglossus stenolepis,1,44,204,588,8611,2408796,2409216,NA,NA,NA,NA,Hippoglossus stenolepis
Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,y,Hydrolagus colliei,1,44,120,880,2181,2417351,5215461,NA,NA,NA,NA,Hydrolagus colliei
Animalia,Chordata,Actinopterygii,Perciformes,Icosteidae,Icosteus,Icosteus aenigmaticus,y,Icosteus aenigmaticus,1,44,204,587,9668,2394444,2394445,NA,NA,NA,NA,Icosteus aenigmaticus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,y,Isopsetta isolepis,1,44,204,588,8611,2409201,2409202,NA,NA,NA,NA,Isopsetta isolepis
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Jordania,Jordania zonope,y,Jordania zonope,1,44,204,590,8621,2333883,2333884,NA,NA,NA,NA,Jordania zonope
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta bilineata,y,Lepidopsetta bilineata,1,44,204,588,8611,5213905,5213939,NA,NA,NA,NA,Lepidopsetta bilineata
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta polyxystra,y,Lepidopsetta polyxystra,1,44,204,588,8611,5213905,5213938,NA,NA,NA,NA,Lepidopsetta polyxystra
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Leptocottus,Leptocottus armatus,y,Leptocottus armatus,1,44,204,590,8621,2333922,2333923,NA,NA,NA,NA,Leptocottus armatus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis cyclopus,y,Liparis cyclopus,1,44,204,590,8627,2335959,5201449,NA,NA,NA,NA,Liparis cyclopus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis florae,y,Liparis florae,1,44,204,590,8627,2335959,5201520,NA,NA,NA,NA,Liparis florae
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis mucosus,y,Liparis mucosus,1,44,204,590,8627,2335959,5201509,NA,NA,NA,NA,Liparis mucosus
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Lumpenus,Lumpenus sagitta,y,Lumpenus sagitta,1,44,204,587,8598,5211320,5211330,NA,NA,NA,NA,Lumpenus sagitta
Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,y,Merluccius productus,1,44,204,549,3703,2415629,2415676,NA,NA,NA,NA,Merluccius productus
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Microgadus,Microgadus proximus,y,Microgadus proximus,1,44,204,549,3701,2415887,2415888,NA,NA,NA,NA,Microgadus proximus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,y,Microstomus pacificus,1,44,204,588,8611,2409352,5214028,NA,NA,NA,NA,Microstomus pacificus
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,Mola,Mola mola,y,Mola sp. MANBOU,1,44,204,772,5897,5207570,NA,NA,NA,NA,NA,Mola sp. MANBOU
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,Mola,Mola mola,y,Mola sp. B,1,44,204,772,5897,5207570,NA,NA,NA,NA,NA,Mola sp. B
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,Mola,Mola mola,y,Mola mola,1,44,204,772,5897,5207570,5213725,NA,NA,NA,NA,Mola mola
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus jaok,n,Myoxocephalus jaok,1,44,204,590,8621,2333775,2333814,NA,NA,NA,NA,Myoxocephalus jaok
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus polyacanthocephalus,y,Myoxocephalus polyacanthocephalus,1,44,204,590,8621,2333775,2333818,NA,NA,NA,NA,Myoxocephalus polyacanthocephalus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus stelleri,y,Myoxocephalus stelleri,1,44,204,590,8621,2333775,2333807,NA,NA,NA,NA,Myoxocephalus stelleri
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Myzopsetta,Myzopsetta ferruginea,n,Myzopsetta ferruginea,1,44,204,588,8611,5213949,NA,NA,NA,NA,NA,Myzopsetta ferruginea
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hemitripteridae,Nautichthys,Nautichthys oculofasciatus,y,Nautichthys oculofasciatus,1,44,204,590,5097,2335120,2335124,NA,NA,NA,NA,Nautichthys oculofasciatus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus maculosus,y,Oligocottus maculosus,1,44,204,590,8621,2333736,2333746,NA,NA,NA,NA,Oligocottus maculosus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus snyderi,y,Oligocottus snyderi,1,44,204,590,8621,2333736,2333742,NA,NA,NA,NA,Oligocottus snyderi
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus apache,n,Oncorhynchus gilae apache,1,44,204,1313,8615,2351426,5204012,Oncorhynchus gilae apache,5204013,NA,NA,Oncorhynchus gilae apache
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,y,Oncorhynchus clarkii,1,44,204,1313,8615,2351426,5711980,NA,NA,NA,NA,Oncorhynchus clarkii
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,y,Oncorhynchus clarkii lewisi,1,44,204,1313,8615,2351426,5711980,Oncorhynchus clarkii lewisi,5711983,NA,NA,Oncorhynchus clarkii lewisi
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gilae,n,Oncorhynchus gilae,1,44,204,1313,8615,2351426,5204032,NA,NA,NA,NA,Oncorhynchus gilae
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,y,Oncorhynchus gorbuscha,1,44,204,1313,8615,2351426,5204037,NA,NA,NA,NA,Oncorhynchus gorbuscha
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,y,Oncorhynchus keta,1,44,204,1313,8615,2351426,5204014,NA,NA,NA,NA,Oncorhynchus keta
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,y,Oncorhynchus kisutch,1,44,204,1313,8615,2351426,5204034,NA,NA,NA,NA,Oncorhynchus kisutch
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,y,Oncorhynchus mykiss,1,44,204,1313,8615,2351426,5204019,NA,NA,NA,NA,Oncorhynchus mykiss
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,y,Oncorhynchus tshawytscha,1,44,204,1313,8615,2351426,5204024,NA,NA,NA,NA,Oncorhynchus tshawytscha
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,y,Ophiodon elongatus,1,44,204,590,8626,2336520,2336521,NA,NA,NA,NA,Ophiodon elongatus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,Oxylebius pictus,y,Oxylebius pictus,1,44,204,590,8626,2336509,2336510,NA,NA,NA,NA,Oxylebius pictus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus,y,Parophrys vetulus,1,44,204,588,8611,2409369,2409370,NA,NA,NA,NA,Parophrys vetulus
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis clemensi,y,Pholis clemensi,1,44,204,587,8576,2390397,5210431,NA,NA,NA,NA,Pholis clemensi
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis crassispina,n,Pholis crassispina,1,44,204,587,8576,2390397,5210429,NA,NA,NA,NA,Pholis crassispina
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis laeta,y,Pholis laeta,1,44,204,587,8576,2390397,5210424,NA,NA,NA,NA,Pholis laeta
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis picta,n,Pholis picta,1,44,204,587,8576,2390397,5210418,NA,NA,NA,NA,Pholis picta
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,y,Phytichthys chirus,1,44,204,587,8598,2394820,2394821,NA,NA,NA,NA,Phytichthys chirus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys flesus,n,Platichthys flesus,1,44,204,588,8611,2409326,2409330,NA,NA,NA,NA,Platichthys flesus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,y,Platichthys stellatus,1,44,204,588,8611,2409326,2409327,NA,NA,NA,NA,Platichthys stellatus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys coenosus,y,Pleuronichthys coenosus,1,44,204,588,8611,2409240,2409249,NA,NA,NA,NA,Pleuronichthys coenosus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Polypera,Polypera greeni,y,Polypera greeni,1,44,204,590,8627,2336110,5201440,NA,NA,NA,NA,Polypera greeni
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus,y,Psettichthys melanostictus,1,44,204,588,8611,2408960,2409051,NA,NA,NA,NA,Psettichthys melanostictus
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus,Rhacochilus vacca,y,Rhacochilus vacca,1,44,204,587,4269,2389312,2389313,NA,NA,NA,NA,Rhacochilus vacca
Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Rimicola,Rimicola muscarum,y,Rimicola muscarum,1,44,204,1163,7668,2411603,5214482,NA,NA,NA,NA,Rimicola muscarum
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus albus,n,Salvelinus albus,1,44,204,1313,8615,2351241,2351278,NA,NA,NA,NA,Salvelinus albus
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus kuznetzovi,n,Salvelinus kuznetzovi,1,44,204,1313,8615,2351241,2351257,NA,NA,NA,NA,Salvelinus kuznetzovi
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus malma,y,Salvelinus malma,1,44,204,1313,8615,2351241,4284020,NA,NA,NA,NA,Salvelinus malma
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,y,Scorpaenichthys marmoratus,1,44,204,590,8621,2334338,5201222,NA,NA,NA,NA,Scorpaenichthys marmoratus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,y,Sebastes alutus,1,44,204,590,8633,2333712,2335557,NA,NA,NA,NA,Sebastes alutus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes baramenuke,n,Sebastes baramenuke,1,44,204,590,8633,2333712,2335483,NA,NA,NA,NA,Sebastes baramenuke
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus,y,Sebastes caurinus,1,44,204,590,8633,2333712,2335455,NA,NA,NA,NA,Sebastes caurinus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes cheni,n,Sebastes cheni,1,44,204,590,8633,2333712,4286373,NA,NA,NA,NA,Sebastes cheni
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,y,Sebastes entomelas,1,44,204,590,8633,2333712,2335516,NA,NA,NA,NA,Sebastes entomelas
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes joyneri,n,Sebastes joyneri,1,44,204,590,8633,2333712,2335451,NA,NA,NA,NA,Sebastes joyneri
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes maliger,y,Sebastes maliger,1,44,204,590,8633,2333712,2335438,NA,NA,NA,NA,Sebastes maliger
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes nebulosus,y,Sebastes nebulosus,1,44,204,590,8633,2333712,2335508,NA,NA,NA,NA,Sebastes nebulosus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes pachycephalus,n,Sebastes pachycephalus,1,44,204,590,8633,2333712,4286366,NA,NA,NA,NA,Sebastes pachycephalus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Synchirus,Synchirus gilli,y,Synchirus gilli,1,44,204,590,8621,2334297,2334298,NA,NA,NA,NA,Synchirus gilli
Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus leptorhynchus,y,Syngnathus leptorhynchus,1,44,204,773,5901,2332887,2332938,NA,NA,NA,NA,Syngnathus leptorhynchus
Animalia,Chordata,Actinopterygii,Perciformes,Trichodontidae,Trichodon,Trichodon trichodon,y,Trichodon trichodon,1,44,204,587,5075,7598749,5210437,NA,NA,NA,NA,Trichodon trichodon
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Xiphister,Xiphister atropurpureus,y,Xiphister atropurpureus,1,44,204,587,8598,2394808,2394813,NA,NA,NA,NA,Xiphister atropurpureus
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Xiphister,Xiphister mucosus,y,Xiphister mucosus,1,44,204,587,8598,2394808,2394809,NA,NA,NA,NA,Xiphister mucosus
