kingdom,phylum,order,family,genus,species,in_range,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,subspecies,subspecies_id,form,form_id,ids
Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes japonicus,n,Ammodytes japonicus,1,44,587,8487,2389989,8995137,NA,NA,NA,NA,NA,NA,Ammodytes japonicus
Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes marinus,n,Ammodytes marinus,1,44,587,8487,2389989,2389994,NA,NA,NA,NA,NA,NA,Ammodytes marinus
Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus,y,Ammodytes personatus,1,44,587,8487,2389989,2389997,NA,NA,NA,NA,NA,NA,Ammodytes personatus
Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes tobianus,n,Ammodytes tobianus,1,44,587,8487,2389989,2389991,NA,NA,NA,NA,NA,NA,Ammodytes tobianus
Animalia,Chordata,Perciformes,Embiotocidae,Amphistichus,Amphistichus argenteus,n,Amphistichus argenteus,1,44,587,4269,2389247,2389248,NA,NA,NA,NA,NA,NA,Amphistichus argenteus
Animalia,Chordata,Perciformes,Embiotocidae,Amphistichus,Amphistichus rhodoterus,y,Amphistichus rhodoterus,1,44,587,4269,2389247,2389252,NA,NA,NA,NA,NA,NA,Amphistichus rhodoterus
Animalia,Chordata,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus,y,Anarrhichthys ocellatus,1,44,587,8489,2392218,2392219,NA,NA,NA,NA,NA,NA,Anarrhichthys ocellatus
Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus insignis,y,Anoplarchus insignis,1,44,587,8598,2394913,2394916,NA,NA,NA,NA,NA,NA,Anoplarchus insignis
Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus purpurescens,y,Anoplarchus purpurescens,1,44,587,8598,2394913,2394914,NA,NA,NA,NA,NA,NA,Anoplarchus purpurescens
Animalia,Chordata,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,y,Anoplopoma fimbria,1,44,590,5090,2335061,2335062,NA,NA,NA,NA,NA,NA,Anoplopoma fimbria
Animalia,Chordata,Perciformes,Pholidae,Apodichthys,Apodichthys flavidus,y,Apodichthys flavidus,1,44,587,8576,2390387,2390392,NA,NA,NA,NA,NA,NA,Apodichthys flavidus
Animalia,Chordata,Scorpaeniformes,Cottidae,Artedius,Artedius fenestralis,y,Artedius fenestralis,1,44,590,8621,2333960,2333969,NA,NA,NA,NA,NA,NA,Artedius fenestralis
Animalia,Chordata,Scorpaeniformes,Cottidae,Artedius,Artedius harringtoni,y,Artedius harringtoni,1,44,590,8621,2333960,2333963,NA,NA,NA,NA,NA,NA,Artedius harringtoni
Animalia,Chordata,Scorpaeniformes,Cottidae,Artedius,Artedius lateralis,y,Artedius lateralis,1,44,590,8621,2333960,2333966,NA,NA,NA,NA,NA,NA,Artedius lateralis
Animalia,Chordata,Scorpaeniformes,Cottidae,Ascelichthys,Ascelichthys rhodorus,y,Ascelichthys rhodorus,1,44,590,8621,2334020,2334021,NA,NA,NA,NA,NA,NA,Ascelichthys rhodorus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes evermanni,n,Atheresthes evermanni,1,44,588,8611,2409090,2409095,NA,NA,NA,NA,NA,NA,Atheresthes evermanni
Animalia,Chordata,Gasterosteiformes,Aulorhynchidae,Aulorhynchus,Aulorhynchus flavidus,y,Aulorhynchus flavidus,1,44,550,3705,2356480,2356481,NA,NA,NA,NA,NA,NA,Aulorhynchus flavidus
Animalia,Chordata,Scorpaeniformes,Hemitripteridae,Blepsias,Blepsias cirrhosus,y,Blepsias cirrhosus,1,44,590,5097,2335094,2335095,NA,NA,NA,NA,NA,NA,Blepsias cirrhosus
Animalia,Chordata,Perciformes,Embiotocidae,Brachyistius,Brachyistius frenatus,y,Brachyistius frenatus,1,44,587,4269,2389274,2389277,NA,NA,NA,NA,NA,NA,Brachyistius frenatus
Animalia,Chordata,Ophidiiformes,Bythitidae,Brosmophycis,Brosmophycis marginata,y,Brosmophycis marginata,1,44,1308,4220,2346158,2346159,NA,NA,NA,NA,NA,NA,Brosmophycis marginata
Animalia,Chordata,Perciformes,Stichaeidae,Bryozoichthys,Bryozoichthys lysimus,n,Bryozoichthys lysimus,1,44,587,8598,2394863,2394864,NA,NA,NA,NA,NA,NA,Bryozoichthys lysimus
Animalia,Chordata,Perciformes,Stichaeidae,Chirolophis,Chirolophis ascanii,n,Chirolophis ascanii,1,44,587,8598,2394935,2394936,NA,NA,NA,NA,NA,NA,Chirolophis ascanii
Animalia,Chordata,Perciformes,Stichaeidae,Chirolophis,Chirolophis decoratus,y,Chirolophis decoratus,1,44,587,8598,2394935,2394964,NA,NA,NA,NA,NA,NA,Chirolophis decoratus
Animalia,Chordata,Perciformes,Stichaeidae,Chirolophis,Chirolophis nugator,y,Chirolophis nugator,1,44,587,8598,2394935,2394956,NA,NA,NA,NA,NA,NA,Chirolophis nugator
Animalia,Chordata,Scorpaeniformes,Cottidae,Chitonotus,Chitonotus pugetensis,y,Chitonotus pugetensis,1,44,590,8621,2333760,2333761,NA,NA,NA,NA,NA,NA,Chitonotus pugetensis
Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,y,Citharichthys sordidus,1,44,588,5082,2408301,2408726,NA,NA,NA,NA,NA,NA,Citharichthys sordidus
Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,y,Citharichthys stigmaeus,1,44,588,5082,2408301,2408737,NA,NA,NA,NA,NA,NA,Citharichthys stigmaeus
Animalia,Chordata,Perciformes,Gobiidae,Clevelandia,Clevelandia ios,y,Clevelandia ios,1,44,587,4274,2379262,5209085,NA,NA,NA,NA,NA,NA,Clevelandia ios
Animalia,Chordata,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus acuticeps,y,Clinocottus acuticeps,1,44,590,8621,2333865,2333873,NA,NA,NA,NA,NA,NA,Clinocottus acuticeps
Animalia,Chordata,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus globiceps,y,Clinocottus globiceps,1,44,590,8621,2333865,2333870,NA,NA,NA,NA,NA,NA,Clinocottus globiceps
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea harengus,n,Clupea harengus,1,44,538,7332,2346676,8351946,NA,NA,NA,NA,NA,NA,Clupea harengus
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,y,Clupea pallasii,1,44,538,7332,2346676,4284072,NA,NA,NA,NA,NA,NA,Clupea pallasii
Animalia,Chordata,Scorpaeniformes,Comephoridae,Comephorus,Comephorus dybowskii,n,Comephorus dybowskii,1,44,590,8620,2334856,2334857,NA,NA,NA,NA,NA,NA,Comephorus dybowskii
Animalia,Chordata,Scorpaeniformes,Cottocomephoridae,Cottocomephorus,Cottocomephorus grewingkii,n,Cottocomephorus grewingki,1,44,590,8622,2335273,2335274,NA,NA,NA,NA,NA,NA,Cottocomephorus grewingki
Animalia,Chordata,Scorpaeniformes,Cottocomephoridae,Cottocomephorus,Cottocomephorus inermis,n,Cottocomephorus inermis,1,44,590,8622,2335273,2335280,NA,NA,NA,NA,NA,NA,Cottocomephorus inermis
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus aleuticus,y,Cottus aleuticus,1,44,590,8621,2334066,2334078,NA,NA,NA,NA,NA,NA,Cottus aleuticus
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus asper,y,Cottus asper,1,44,590,8621,2334066,2334177,NA,NA,NA,NA,NA,NA,Cottus asper
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus bairdii,n,Cottus bairdii,1,44,590,8621,2334066,2334131,NA,NA,NA,NA,NA,NA,Cottus bairdii
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus beldingii,n,Cottus beldingii,1,44,590,8621,2334066,2334123,NA,NA,NA,NA,NA,NA,Cottus beldingii
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus cognatus,y,Cottus cognatus,1,44,590,8621,2334066,2334185,NA,NA,NA,NA,NA,NA,Cottus cognatus
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus dzungaricus,n,Cottus dzungaricus,1,44,590,8621,2334066,2334068,NA,NA,NA,NA,NA,NA,Cottus dzungaricus
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus gobio,n,Cottus gobio,1,44,590,8621,2334066,7807208,NA,NA,NA,NA,NA,NA,Cottus gobio
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus hangiongensis,n,Cottus hangiongensis,1,44,590,8621,2334066,2334082,NA,NA,NA,NA,NA,NA,Cottus hangiongensis
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus perplexus,y,Cottus perplexus,1,44,590,8621,2334066,2334092,NA,NA,NA,NA,NA,NA,Cottus perplexus
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus pollux,n,Cottus pollux,1,44,590,8621,2334066,2334121,NA,NA,NA,NA,NA,NA,Cottus pollux
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus rhotheus,y,Cottus rhotheus,1,44,590,8621,2334066,2334075,NA,NA,NA,NA,NA,NA,Cottus rhotheus
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus volki,n,Cottus volki,1,44,590,8621,2334066,2334101,NA,NA,NA,NA,NA,NA,Cottus volki
Animalia,Chordata,Perciformes,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes giganteus,y,Cryptacanthodes giganteus,1,44,587,4264,2387403,2387407,NA,NA,NA,NA,NA,NA,Cryptacanthodes giganteus
Animalia,Chordata,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,y,Cymatogaster aggregata,1,44,587,4269,2389233,2389234,NA,NA,NA,NA,NA,NA,Cymatogaster aggregata
Animalia,Chordata,Perciformes,Embiotocidae,Embiotoca,Embiotoca lateralis,y,Embiotoca lateralis,1,44,587,4269,2389281,2389287,NA,NA,NA,NA,NA,NA,Embiotoca lateralis
Animalia,Chordata,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,y,Engraulis mordax,1,44,538,7334,2352080,2414024,NA,NA,NA,NA,NA,NA,Engraulis mordax
Animalia,Chordata,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison,y,Enophrys bison,1,44,590,8621,2333763,5201188,NA,NA,NA,NA,NA,NA,Enophrys bison
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,y,Eopsetta jordani,1,44,588,8611,2409233,2409237,NA,NA,NA,NA,NA,NA,Eopsetta jordani
Animalia,Chordata,Perciformes,Stichaeidae,Eumesogrammus,Eumesogrammus praecisus,n,Eumesogrammus praecisus,1,44,587,8598,2394919,2394920,NA,NA,NA,NA,NA,NA,Eumesogrammus praecisus
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,y,Gadus chalcogrammus,1,44,549,3701,2335052,2415769,NA,NA,NA,NA,NA,NA,Gadus chalcogrammus
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,y,Gadus macrocephalus,1,44,549,3701,2335052,2415853,NA,NA,NA,NA,NA,NA,Gadus macrocephalus
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus morhua,n,Gadus morhua,1,44,549,3701,2335052,8084280,NA,NA,NA,NA,NA,NA,Gadus morhua
Animalia,Chordata,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,y,Gasterosteus aculeatus,1,44,550,7666,2333602,4286327,NA,NA,NA,NA,NA,NA,Gasterosteus aculeatus
Animalia,Chordata,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,y,Gasterosteus aculeatus williamsoni,1,44,550,7666,2333602,4286327,NA,NA,Gasterosteus aculeatus williamsoni,6169883,NA,NA,Gasterosteus aculeatus williamsoni
Animalia,Chordata,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,y,Gasterosteus aculeatus aculeatus,1,44,550,7666,2333602,4286327,NA,NA,NA,NA,Gasterosteus aculeatus aculeatus,8776075,Gasterosteus aculeatus aculeatus
Animalia,Chordata,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus microcephalus,n,Gasterosteus aculeatus microcephalus,1,44,550,7666,2333602,2356544,NA,NA,Gasterosteus aculeatus microcephalus,6169876,NA,NA,Gasterosteus aculeatus microcephalus
Animalia,Chordata,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus nipponicus,n,Gasterosteus nipponicus,1,44,550,7666,2333602,9168522,NA,NA,NA,NA,NA,NA,Gasterosteus nipponicus
Animalia,Chordata,Perciformes,Clinidae,Gibbonsia,Gibbonsia montereyensis,y,Gibbonsia montereyensis,1,44,587,4261,2380263,5209308,NA,NA,NA,NA,NA,NA,Gibbonsia montereyensis
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus stelleri,n,Glyptocephalus stelleri,1,44,588,8611,2409281,5213991,NA,NA,NA,NA,NA,NA,Glyptocephalus stelleri
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,y,Glyptocephalus zachirus,1,44,588,8611,2409281,5214001,NA,NA,NA,NA,NA,NA,Glyptocephalus zachirus
Animalia,Chordata,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,y,Gobiesox maeandricus,1,44,1163,7668,2411258,2411287,NA,NA,NA,NA,NA,NA,Gobiesox maeandricus
Animalia,Chordata,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus gilberti,n,Hemilepidotus gilberti,1,44,590,8621,2333943,2333948,NA,NA,NA,NA,NA,NA,Hemilepidotus gilberti
Animalia,Chordata,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus,y,Hemilepidotus hemilepidotus,1,44,590,8621,2333943,2333949,NA,NA,NA,NA,NA,NA,Hemilepidotus hemilepidotus
Animalia,Chordata,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus,y,Hemilepidotus spinosus,1,44,590,8621,2333943,2333952,NA,NA,NA,NA,NA,NA,Hemilepidotus spinosus
Animalia,Chordata,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus zapus,n,Hemilepidotus zapus,1,44,590,8621,2333943,2333944,NA,NA,NA,NA,NA,NA,Hemilepidotus zapus
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos agrammus,n,Hexagrammos agrammus,1,44,590,8626,2336463,2336490,NA,NA,NA,NA,NA,NA,Hexagrammos agrammus
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,y,Hexagrammos decagrammus,1,44,590,8626,2336463,2336472,NA,NA,NA,NA,NA,NA,Hexagrammos decagrammus
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos lagocephalus,y,Hexagrammos lagocephalus,1,44,590,8626,2336463,2336464,NA,NA,NA,NA,NA,NA,Hexagrammos lagocephalus
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos octogrammus,y,Hexagrammos octogrammus,1,44,590,8626,2336463,2336486,NA,NA,NA,NA,NA,NA,Hexagrammos octogrammus
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos otakii,n,Hexagrammos otakii,1,44,590,8626,2336463,2336496,NA,NA,NA,NA,NA,NA,Hexagrammos otakii
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides elassodon,y,Hippoglossoides elassodon,1,44,588,8611,2409098,2409109,NA,NA,NA,NA,NA,NA,Hippoglossoides elassodon
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,n,Hippoglossoides platessoides,1,44,588,8611,2409098,2409104,NA,NA,NA,NA,NA,NA,Hippoglossoides platessoides
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus hippoglossus,n,Hippoglossus hippoglossus,1,44,588,8611,2408796,2409218,NA,NA,NA,NA,NA,NA,Hippoglossus hippoglossus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,y,Hippoglossus stenolepis,1,44,588,8611,2408796,2409216,NA,NA,NA,NA,NA,NA,Hippoglossus stenolepis
Animalia,Chordata,Scorpaeniformes,Sebastidae,Hozukius,Hozukius emblemarius,n,Hozukius emblemarius,1,44,590,8633,2335347,2335349,NA,NA,NA,NA,NA,NA,Hozukius emblemarius
Animalia,Chordata,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,y,Hydrolagus colliei,1,44,880,2181,2417351,5215461,Holocephali,120,NA,NA,NA,NA,Hydrolagus colliei
Animalia,Chordata,Perciformes,Ammodytidae,Hyperoplus,Hyperoplus immaculatus,n,Hyperoplus immaculatus,1,44,587,8487,2390011,2390012,NA,NA,NA,NA,NA,NA,Hyperoplus immaculatus
Animalia,Chordata,Perciformes,Ammodytidae,Hyperoplus,Hyperoplus lanceolatus,n,Hyperoplus lanceolatus,1,44,587,8487,2390011,2390014,NA,NA,NA,NA,NA,NA,Hyperoplus lanceolatus
Animalia,Chordata,Osmeriformes,Osmeridae,Hypomesus,Hypomesus pretiosus,y,Hypomesus pretiosus,1,44,1068,8480,2410868,2410871,NA,NA,NA,NA,NA,NA,Hypomesus pretiosus
Animalia,Chordata,Scorpaeniformes,Cottidae,Icelinus,Icelinus borealis,y,Icelinus borealis,1,44,590,8621,2334346,2334359,NA,NA,NA,NA,NA,NA,Icelinus borealis
Animalia,Chordata,Perciformes,Centrolophidae,Icichthys,Icichthys lockingtoni,y,Icichthys lockingtoni,1,44,587,8515,2398045,2398046,NA,NA,NA,NA,NA,NA,Icichthys lockingtoni
Animalia,Chordata,Perciformes,Icosteidae,Icosteus,Icosteus aenigmaticus,y,Icosteus aenigmaticus,1,44,587,9668,2394444,2394445,NA,NA,NA,NA,NA,NA,Icosteus aenigmaticus
