id,replicate,species,oral.gape.position,eye.size,mouth.length,eye.position,pec.fin.position,pec.fin.AR,caudal.fin.AR,caudal.ped.throttling,fin.SA.ratio,fl_tl
Acipenser_medirostris,1,y,0.066757644,0.008245727,0.013180568,0.664758603,0.067392306,3.797201034,2.258389971,5.495729677,1.254301966,1.062991815
Acipenser_transmontanus,1,y,0.096678459,0.014192056,0.013366463,0.528834497,0.164199084,4.64792558,2.127318185,4.581536854,0.961260992,1.12016038
Agonopsis_emmelane,1,y,0.29272439,0.057911731,0.062232951,0.765868293,0.482155357,1.368410173,1.028242002,3.248856926,3.882145778,1
Agonus_acipenserinus,1,y,0.05072329,0.063447567,0.06546292,0.6666876,0.610797411,1.265379379,1.011861688,3.963856483,2.996872513,1
Alepisaurus_ferox,1,y,0.379902967,0.028929052,0.107284546,0.681521858,0.20080285,5.801933486,2.009228784,5.276595745,1.046968794,1.072683516
Allocyttus,1,n,0.658187755,0.156868084,0.125577678,0.796602174,0.550818744,1.791698885,1.100134073,3.032834453,1.907622791,1
Allolumpenus_hypochromus,1,y,0.328697761,0.039037392,0.059572564,0.671682836,0.400047332,3.646294261,0.849071517,2.041770833,1.211637249,1
Allosmerus_elongatus,1,y,0.740496511,0.052951325,0.11740736,0.675635503,0.327890755,3.566573849,1.68562615,2.564231501,0.753402539,1.075084503
Alopias_vulpinus,1,y,0.271785928,0.027666309,0.064000293,0.555488565,0.150803861,3.903432951,1.540705379,4.491631199,0.441188755,1.943918
Alosa_sapidissima,1,y,0.587997854,0.052612751,0.118694276,0.738197425,0.174162775,3.52823923,1.689117762,2.564733333,0.535849682,1.088092625
Ammodytes_hexapterus,1,y,0.61361209,0.027006203,0.059994004,0.742495171,0.355199527,4.788489905,1.555255683,3.766725178,1.055045328,1.035793141
Amphistichus_koelzi,1,y,0.460255593,0.06928037,0.093941598,0.625015802,0.361057164,2.984312705,1.826023325,2.201077574,0.840016008,1.079292058
Amphistichus_rhodoterus,1,y,0.488628729,0.076643458,0.097780373,0.636379261,0.395548735,2.838021112,1.444732436,2.030089109,1.003814499,1.075114721
Anarrhichthys_ocellatus,1,y,0.533520962,0.011530304,0.027232616,0.769607912,0.422234661,1.596311555,6.28E-10,1,0.003628075,1
Anoplagonus_inermis,1,y,0.71218,0.025668328,0.045337531,0.656048,0.578647852,1.194956342,0.930759449,3.327789572,2.04475827,1
Anoplarchus_insignis,1,y,0.498448926,0.015390905,0.051862541,0.678014378,0.416682292,2.215967226,1.161599491,2.537492537,0.570168388,1
Anoplarchus_insignis,2,y,0.505454407,0.016506855,0.049414435,0.694536866,0.438430424,2.081994328,1.288083205,2.380391317,0.630051196,1
Anoplarchus_purpurescens,1,y,0.378768749,0.036478216,0.07493669,0.676733498,0.351376674,2.012341501,1.25906551,1.702939652,0.801003624,1
Anoplopoma_fimbria,1,y,0.416666667,0.031647449,0.088951997,0.733380556,0.52,2.976789196,1.769403134,4.136526029,0.605225931,1.023307703
Anotopterus_pharao,1,y,0.856290222,0.027132967,0.160665803,0.676738327,0.259602904,7.678825411,1.30086405,5.43375,0.206684698,1.035411247
Antimora_microlepis,1,y,0.602863755,0.049898557,0.13107394,0.780154653,0.502069942,4.029983355,1.054934476,3.213333333,0.724982518,1
Apodichthys_flavidus,1,y,0.474215517,0.019315098,0.027449237,0.706896552,0.395201571,1.834343003,1.55018848,2.357117269,0.431616302,1
Apristurus_brunneus,1,y,0.187856134,0.009409931,0.03010397,0.692478067,0.072787677,2.656595371,0.625429126,2.601785967,0.600493768,0.998007702
Aprodon_cortezianus,1,y,0.395940335,0.051827335,0.078950778,0.789749786,0.369828914,1.458952678,6.28E-10,1,0.020006847,1
Aptocyclus_ventricosus,1,y,0.671428571,0.055424434,0.046287453,0.86,0.466346839,0.870504621,1.137202706,1.351216464,3.980495713,1.055945381
Argyropelecus_lychnus_lychnus,1,y,0.759921979,0.12546952,0.260980393,0.807916256,0.233022451,4.612529271,2.308949003,2.350866082,0.871654031,1.0605394
Aristostomias_scintillans,1,y,0.489021647,0.055671066,0.256572245,0.718943932,0.183666508,16.79785856,1.631612381,2.760005818,1.645500375,1.017787916
Artedius_fenestralis,1,y,0.422582894,0.07016451,0.142642818,0.830995363,0.533696239,1.68636573,1.231336802,2.63095,2.531196547,1
Artedius_harringtoni,1,y,0.387519725,0.097177318,0.154265178,0.80640575,0.462874803,1.556216836,1.12613137,2.337665145,2.158036327,1
Artedius_lateralis,1,y,0.403602149,0.06055561,0.141998922,0.825600301,0.476616176,1.78943766,1.13777731,3.014017646,2.243412385,1
Artedius_meanyi,1,y,0.318596706,0.098126555,0.130230739,0.733312964,0.45269736,1.809622795,0.961621048,2.371024194,2.369796418,1
Aseclichthys_rhodorus,1,y,0.445315693,0.065824664,0.129679933,0.788355839,0.634306815,1.392856883,1.022609973,2.647727273,1.483940912,1
Asemichthys_taylori,1,y,0.478300207,0.067777993,0.095328111,0.782608696,0.564614035,2.23063143,1.150446722,2.955562189,3.285022737,1
Asterotheca_alascana,1,y,0.389312977,0.072757612,0.050025765,0.664165394,0.519938235,1.994164964,1.053777834,3.566822222,4.510353714,1
Asterotheca_infraspinata,1,y,0.435286436,0.061989321,0.052401065,0.711752146,0.550291005,1.742168516,1.101639553,3.533966667,4.187178063,1
Asterotheca_pentacanthus,1,y,0.366459627,0.068891036,0.054001155,0.664624224,0.637755102,1.75492905,1.127036769,3.669943021,3.898928585,1
Asterotheca_pentacanthus,2,y,0.333462963,0.065626096,0.054515981,0.66692284,0.661757938,1.702696983,1.145263462,3.56,3.736040701,1
Atherinops_affinis_affinis,1,y,0.588259358,0.060712668,0.062727235,0.695208556,0.645339574,4.082069473,1.246237581,2.807959194,0.675911779,1.07567616
Aulorhynchus_flavidus,1,y,0.697040404,0.040898516,0.149354902,0.616242424,0.556499963,3.088364955,1.046605145,4.701100282,2.003888856,1.020225973
Avocettina_gilli,1,y,0.563182527,0.005981314,0.051049575,0.563182527,0.58271237,2.754388212,6.28E-10,1,0.00026122,1
Bathophilus_flemingi,1,y,0.521912319,0.018357298,0.127177667,0.659520661,0.514868333,2.290525854,2.127906612,2.756428433,11.41274399,1.021423093
Bathyagonus_nigripinnis,1,y,0.645429078,0.065395187,0.051927059,0.730531915,0.522341667,2.417921683,1.2525676,4.312614583,2.689637029,1
Bathylagus_milleri,1,y,0.601620679,0.090755296,0.059784925,0.658527365,0.274228732,2.900342021,1.527601894,2.890922727,0.542172406,1.049878298
Bathylagus_ochotensis,1,y,0.497774207,0.071825317,0.043687682,0.668080666,0.337659528,5.243103062,1.260067809,2.154613971,0.566123571,1.057155685
Bathylagus_pacificus,1,y,0.530098226,0.097404479,0.049341266,0.642535881,0.180621564,3.585167363,1.881378287,2.750011364,0.760942545,1.048085226
Bathymaster_signatus,1,y,0.514631607,0.063254273,0.103594317,0.767200056,0.503447087,1.305178683,1.152617055,1.9839625,2.61480427,1
Benthalbella_dentata,1,y,0.582159624,0.059762942,0.168596586,0.788732394,0.362410982,7.074060082,0.881393949,2.156348958,0.105554356,1.07262961
Benthodesmus_simonyi,1,y,0.718792969,0.024881137,0.056340588,0.718792969,0.463417503,3.533466893,2.487076803,9.151269895,2.110002384,1.016198855
Blepsias_bilobus,1,y,0.686497903,0.062102409,0.134858175,0.756764426,0.541984978,1.409979854,1.312132111,2.489130435,3.141563194,1
Blepsias_cirrhosus,1,y,0.426470588,0.074128418,0.11469626,0.757352941,0.461970852,1.727232358,1.335429383,3.958016304,2.382109154,1
Bothragonus_swani,1,y,0.412867755,0.057198084,0.063519548,0.750003968,0.461988971,1.876302181,1.174671988,1.683542269,2.524086579,1
Bothrocara_brunneum,1,y,0.514929101,0.026393614,0.078434975,0.735724165,0.373368534,3.264350151,6.28E-10,1,0.008701026,1
Bothrocara_molle,1,y,0.234095225,0.042487582,0.03602366,0.683116325,0.598766547,4.534607412,6.28E-10,1,0.006613021,1
Bothrocara_remigerum,1,y,0.319746626,0.037411988,0.070767096,0.807290003,0.405399271,3.275768083,6.28E-10,1,0.017814982,1
Brachyistius_frenatus,1,y,0.668478261,0.069288346,0.068454701,0.576112319,0.39897188,2.580303673,1.440192662,2.026965123,0.732275317,1.056784675
Brama_japonica,1,y,0.486357354,0.077404751,0.114515701,0.568236803,0.400974546,4.225679511,0.865300835,3.079529101,1.072430229,1.178555999
Brosmophycis_marginata,1,y,0.546568449,0.019484217,0.087175206,0.842136906,0.57526335,1.213237423,1.095337323,2.323176042,5.672565087,1
Bryozoichthys_marjorius,1,y,0.493870791,0.037808639,0.054315922,0.724971487,0.476668284,1.805437925,1.042291199,1.960171174,2.047191693,1
Carcharodon_carcharias,1,y,0.296488676,0.014295966,0.065555215,0.723565805,0.322752831,4.199503487,3.155963563,6.100154908,1.547881777,1.100856793
Careproctus_gilberti,1,y,0.338088716,0.090938661,0.099934613,0.670924705,0.43657702,2.14692832,6.28E-10,1,0.024527091,1
Careproctus_melanurus,1,y,0.458528375,0.029572302,0.061417822,0.758062267,0.345297018,2.235325888,6.28E-10,1,0.023743053,1
Careproctus_ovigerum,1,y,0.345235922,0.05130687,0.0980241,0.686470808,0.419433011,0.761114663,0.439738562,1.811613064,10.87224401,1
Caristius_macropus,1,y,0.363027608,0.091242658,0.173073802,0.523981028,0.457258846,2.991676379,1.46707508,2.134374661,0.677114166,1.032297376
Caulolatilus_princeps,1,y,0.548414307,0.073975032,0.081302967,0.800009032,0.41062306,3.818409624,1.249260182,2.868013981,0.680050612,1.054486083
Ceratoscopelus_townsendi,1,y,0.487620448,0.09970775,0.2450463,0.699629338,0.490147225,5.500206708,1.040577386,2.135570968,0.526917844,1.103047629
Cetorhinus_maximus,1,y,0.408173053,0.007211121,0.058755258,0.549242588,0.07056488,3.21488156,3.167228948,6.562045758,0.681100465,1.092901357
Chaenophryne_parviconus,1,y,0.429619158,0.036825028,0.346815726,0.620527858,0.6774942,0.654714011,0.885937802,1.876325069,0.234588413,1
Chauliodus_macouni,1,y,0.390119222,0.029390422,0.150624317,0.560517244,0.052021129,3.685393327,1.0659139,3.565478261,0.748499198,1.030005644
Chirolophis_decoratus,1,y,0.652765272,0.02868582,0.071746867,0.837939998,0.508892214,1.58141259,1.250622849,1.692179897,2.494878508,1
Chirolophis_nugator,1,y,0.316665917,0.027084377,0.03759309,0.55000725,0.583548223,1.409361931,1.48897754,2.545397731,1.952612682,1
Chitonotus_pugetensis,1,y,0.300138636,0.098655539,0.168187073,0.818181818,0.541923014,1.707563376,1.187218699,3.117519231,2.358311781,1
Chitonotus_pugetensis,2,y,0.296530923,0.087709743,0.160996634,0.765472587,0.578925362,1.702676038,0.114611301,0.305682779,2.543421687,1.003138402
Clevelandia_ios,1,y,0.57532933,0.055837508,0.08675432,0.794621127,0.594312381,1.97302492,0.909547698,2.401829279,0.563193565,1
Clinocottus_acuticeps,1,y,0.331288344,0.067972023,0.080576729,0.730087935,0.515147613,1.649346147,1.236364164,3.105672639,3.470248755,1
Clinocottus_embryum,1,y,0.292709887,0.074513885,0.088193352,0.772171266,0.564320678,2.51368565,1.197471236,2.616786025,2.788228295,1
Clinocottus_globiceps,1,y,0.340420703,0.050899416,0.080747463,0.819293343,0.630572959,1.943385712,1.268035698,2.586806562,1.970226547,1
Clupea_harengus_pallasi,1,y,0.681266393,0.059487149,0.11174982,0.681266393,0.202630437,3.686158651,2.711058457,3.04167354,0.506811819,1.083005919
Cololabis_saira,1,y,0.671267123,0.032559736,0.044697343,0.698763699,0.603135324,2.414595161,1.79525066,4.198973584,0.911823093,1.04540209
Coryphaenoides_acrolepis,1,y,0.320901824,0.057734275,0.048919215,0.757030403,0.525689591,4.934765088,6.28E-10,1,0.00426053,1
Coryphaenoides_cyclolepis,1,y,0.344430105,0.02822039,0.057843588,0.755840171,0.538249007,2.450842784,6.28E-10,1,0.006562535,1
Coryphaenoides_filifera,1,y,0.46412665,0.044567445,0.066190085,0.75265083,0.500317099,4.267407801,6.28E-10,1,0.00724422,1
Coryphaenoides_liocephalus,1,y,0.326049994,0.032947952,0.067435195,0.723678826,0.611738921,4.319302027,6.28E-10,1,0.008852358,1
Coryphaenoides_pectoralis,1,y,0.346972752,0.044290593,0.067456943,0.685934918,0.505673678,5.342185843,6.28E-10,1,0.00547508,1
Coryphopterus_nicholsi,1,y,0.524143008,0.070036757,0.105633624,0.802093285,0.600831818,2.294812565,0.968174674,1.937345805,0.968564925,1
Cyclothone_microdon,1,y,0.815051631,0.019930831,0.081160432,0.781581623,0.350233331,6.458646237,1.024413291,2.389965951,0.415630382,1.047747758
Cymatogaster_aggregata,1,y,0.632784253,0.076730211,0.081635595,0.653081389,0.380409761,3.041937267,1.244695509,2.167190476,0.775389671,1.087538832
Cymatogaster_aggregata,2,y,0.609911776,0.068401908,0.086900376,0.609954328,0.367860918,1.584161184,0.928796566,1.505648352,0.765090046,1.082428341
Cymatogaster_aggregata,3,y,0.607254469,0.074438404,0.058646434,0.496171335,0.327967213,4.351957326,1.60813088,2.229558277,0.452830189,1.078228832
Cymatogaster_aggregata,4,y,0.526355263,0.065764956,0.06445658,0.585671053,0.395942187,3.882553103,0.509790601,1.220435359,0.674676124,1.077443068
Cymatogaster_aggregata,5,y,0.522152907,0.075352304,0.074152876,0.774283249,0.437216263,4.04906242,2.183676194,2.77285686,0.757152399,1.109490918
Cymatogaster_aggregata,6,y,0.208149275,0.053049085,0.073347413,0.272357697,0.392148258,2.549131358,1.316254437,1.947440665,1.047557285,1.081269967
Cymatogaster_aggregata,7,y,0.508699321,0.053271484,0.086349169,0.635934845,0.396163603,3.581691786,0.732430443,1.44095181,0.858956276,1.091697282
Cymatogaster_aggregata,8,y,0.622809211,0.070025926,0.098123858,0.614032895,0.352694965,3.572516751,0.992130991,1.504489664,1.304347826,1.092287117
Cynoscion_nobilis,1,y,0.479140464,0.037371439,0.095316215,0.713578164,0.418613,4.130053653,1.784533101,3.442581383,0.466694562,1.007521225
Cyprinus_carpio,1,y,0.513656734,0.078725425,0.088141656,0.641318669,0.308439886,2.047559084,1.832131738,2.338237028,0.579124045,1.08379633
Dasycottus_setiger,1,y,0.62207796,0.077967301,0.179620304,0.779104131,0.477801406,0.931146319,0.955351117,3.093794803,2.725961709,1
Delolepis_gigantea,1,y,0.814577146,0.020601495,0.067301963,0.867529561,0.39021535,2.770606199,0.877557038,2.50008,0.576398736,1
Derepodichthys_alepidotus,1,y,0.437083666,0.023991841,0.041935084,0.723243627,0.414678953,5.280709239,6.28E-10,1,0.001097879,1
Diaphus_theta,1,y,0.175918401,0.099496757,0.216261072,0.556976951,0.156657003,6.96442759,1.020602102,1.833474747,0.199052885,1.083255604
Dolichopteryx,1,y,0.466582237,0.055639702,0.215453646,1,0.738023047,3.2369703,0.936010947,1.885857247,5.829743992,1.059845093
Embiotoca_lateralis,1,y,0.600018823,0.074368232,0.074010162,0.629400658,0.40503151,2.582565911,1.433100251,2.121697691,0.75826917,1.094261034
Engraulis_mordax_mordax,1,y,0.441898256,0.046064634,0.237024586,0.656976744,0.180921053,3.934603427,2.533671731,3.043520661,0.46342033,1.075916336
Enophrys_bison,1,y,0.377903771,0.055886772,0.09953523,0.843321193,0.416715603,2.10349966,1.03248901,2.827637931,2.118404069,1
Erilepis_zonifer,1,y,0.630199581,0.044374965,0.099972967,0.765631727,0.457339992,2.414690416,1.454893086,2.666609431,0.896341548,1.01607569
Eumicrotremus_orbis,1,y,0.666666667,0.124563918,0.078051619,0.730505319,0.316461817,0.823232429,1.219542589,1.603831443,4.722449328,1
Euthynnus_pelamis,1,y,0.640555556,0.051730888,0.132264719,0.666666667,0.5678125,4.292532726,6.63856987,11.70266667,0.88690785,1.042394482
Gadus_macrocephalus,1,y,0.670785054,0.049618296,0.10967626,0.77012734,0.471540882,2.801833439,1.528265604,2.980309789,0.654879183,1
Gadus_macrocephalus,2,y,0.443301711,0.038253395,0.072987076,0.866901124,0.509697188,3.910156439,1.050182829,2.492431764,0.551398626,1.008470424
Gadus_macrocephalus,3,y,0.52238806,0.047337278,0.067936059,0.78361194,0.493936013,8.616570156,1.257218189,2.737052632,0.74214876,1
Gadus_macrocephalus,4,y,0.666695035,0.032671811,0.095183848,0.822808511,0.53054517,2.479393347,1.633233789,3.645005415,0.491467577,1
Gadus_macrocephalus,5,y,0.627218935,0.027924326,0.052343597,0.836255556,0.457959111,2.040703246,1.474797388,3.299895797,0.860130719,1
Gadus_macrocephalus,6,y,0.438565715,0.026890439,0.083670617,0.888849905,0.576942308,3.690254761,1.67687534,3.305115907,0.594899461,1
Gadus_macrocephalus,7,y,0.57294006,0.041135401,0.126763869,0.783753983,0.486893448,2.994547675,1.952981328,3.378954591,0.967437083,1
Gadus_macrocephalus,8,y,0.705319704,0.038056503,0.101552693,0.763270275,0.485436893,2.594756252,1.75726055,3.204521469,0.675818374,1
Galeorhinus_zyopterus,1,y,0.293138963,0.015721448,0.033037715,0.666891329,0.23103274,3.982688539,1.920064781,4.24803323,0.795354374,1.162913539
Gasterosteus_aculeatus,1,y,0.612509479,0.064310731,0.062440313,0.679161007,0.547658956,1.277817478,1.324475978,3.59492881,1.883210701,1
Genyonemus_lineatus,1,y,0.234234234,0.040225009,0.060902195,0.689204955,0.429198017,5.326073456,1.956610758,2.980642732,0.545783249,1.01036256
Gibbonsia_metzi,1,y,0.518929576,0.042590449,0.072241859,0.754919001,0.523579349,1.629519439,1.050318597,2.015058077,1.911891388,1
Gibbonsia_montereyensis,1,y,0.413765757,0.032196608,0.065193111,0.735606555,0.475653295,1.946934826,1.208256995,2.641505127,1.277061236,1
Gilbertidia_sigalutes,1,y,0.51479902,0.060496279,0.093367689,0.715702614,0.373610126,1.976471889,1.11101391,2.469259259,4.560936491,1
Gobiesox_maeandricus,1,y,0.522914192,0.051422763,0.079506844,0.784385048,0.663808602,0.541160367,1.164859514,2.117000968,1.937138865,1
Hemilepidotus_hemilepidotus,1,y,0.358690454,0.06753418,0.130187103,0.749989131,0.485754523,1.934880475,1.035840719,2.790016418,1.910746394,1
Hemilepidotus_spinosus,1,y,0.435191072,0.073253273,0.147107405,0.79163246,0.539066914,1.500062895,1.208362411,2.633794994,2.254925381,1
Hemilepidotus_spinosus,2,y,0.435191072,0.073253273,0.147107405,0.79163246,0.539066914,1.500062895,1.208362411,2.633794994,2.254925381,1
Hemitripterus_bolini,1,y,0.663343537,0.067349817,0.205015558,0.780629252,0.548368581,1.444588268,1.254608587,2.878628052,2.231487966,1
Hexagrammos_decagrammus,1,y,0.47690932,0.054395328,0.079783981,0.761516495,0.402839306,1.522242584,1.223327924,2.3132224,1.696777602,1
Hexagrammos_decagrammus,2,y,0.254597758,0.04028791,0.069826122,0.860887097,0.561356191,2.187193196,0.965038312,1.716095104,1.479550562,1.013614993
Hexagrammos_decagrammus,3,y,0.259260905,0.040653047,0.060800599,0.881491522,0.559183964,2.4854543,0.900036736,1.800262305,1.592561983,1.015240346
Hexagrammos_decagrammus,4,y,0.265117647,0.052405789,0.060074138,0.867647059,0.513495009,2.07911433,1.604183862,2.574222179,1.135290731,1
Hexagrammos_decagrammus,5,y,0.502917588,0.035609799,0.058772652,0.94225517,0.544219388,1.961835487,1.989369789,3.209172176,1.485544657,1
Hexagrammos_decagrammus,6,y,0.443992631,0.043067175,0.077121595,0.917030423,0.502694301,1.271237559,1.854096436,2.619324796,1.897423549,1
Hexagrammos_decagrammus,7,y,0.353925163,0.040372095,0.048511203,0.909435453,0.548141948,0.759537869,0.975537989,1.936950731,1.425760695,1.010338111
Hexagrammos_decagrammus,8,y,0.417413762,0.050915045,0.062355963,0.860957731,0.554115592,0.814920596,1.767720106,2.937554113,1.281363236,1
Hexagrammos_lagocephalus,1,y,0.438897253,0.039654775,0.082618809,0.749974539,0.498413681,1.429230791,1.024817668,1.769843634,1.38223991,1
Hexagrammos_octogrammus,1,y,0.507502589,0.044785233,0.077395336,0.828368609,0.489097815,1.591954465,1.059942502,2.011009713,1.470359103,1
Hexagrammos_octogrammus,2,y,0.488774176,0.045991732,0.078093275,0.854971709,0.493412594,1.324191457,1.075023269,2.011232221,1.533698491,1
Hexagrammos_stelleri,1,y,0.535991393,0.050520648,0.096188621,0.775900685,0.525295392,0.896803452,1.409514246,3.068104595,1.620475937,1.004156927
Hexanchus_griseus,1,y,0.286770193,0.02319067,0.109715716,0.527690508,0.220590457,4.356580873,2.194263785,4.627857731,0.584317079,1.191146124
Hydrolagus_colliei,1,y,0.117339308,0.064679231,0.041582962,0.761733473,0.090009282,2.911996435,0.365258421,2.638324887,2.883007255,1
Hyperprosopon_argenteum,1,y,0.588224914,0.096993095,0.103802307,0.588224914,0.345174943,3.878596196,1.797975138,2.609565154,0.984398848,1.08524829
Hyperprosopon_ellipticum,1,y,0.538853124,0.083332338,0.085792173,0.585484644,0.331505714,3.42246104,1.463649026,2.135036985,0.67535617,1.062823712
Hypomesus_pretiosus_pretiosus,1,y,0.617817053,0.044330023,0.075034316,0.66239949,0.211148649,3.480064319,1.69394597,2.654995932,0.582932436,1.057833681
Hypsagonus_quadricornis,1,y,0.34999125,0.075111318,0.069648677,0.735729821,0.398540418,3.400977708,1.160412273,2.452928752,2.069401886,1
Icelinus_borealis,1,y,0.454554161,0.098058686,0.140027078,0.811853545,0.51076366,1.803091715,1.31536343,2.941541638,2.874921471,1
Icelinus_burchami,1,y,0.323222746,0.117794011,0.139215686,0.811052237,0.435223694,1.565493312,1.125477526,2.999761283,1.883261907,1
Icelinus_filamentosus,1,y,0.388908663,0.082535737,0.120976754,0.820947788,0.538240723,2.200861996,1.203663766,3.178457116,1.694888774,1
